,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
319,Texas NCAA,26,19,7,.731,16.24,9.81,,11,6,,8,5,,6,2,,1956,1789,,1055,684,1506,.454,225,631,.357,363,513,.708,286,1005,341,170,101,370,515
320,Toledo,29,21,8,.724,7.62,-1.48,,15,4,,12,1,,7,5,,2367,2103,,1175,829,1811,.458,308,817,.377,401,515,.779,310,1097,465,177,71,319,444
321,Towson,18,4,14,.222,-9.02,-1.52,,3,9,,4,4,,0,6,,1214,1349,,730,434,1055,.411,90,311,.289,256,352,.727,225,666,170,90,50,224,318
322,Troy,28,11,17,.393,-11.63,-3.63,,4,12,,7,4,,2,11,,1829,1942,,1125,636,1596,.398,171,619,.276,386,555,.695,302,1056,320,175,87,417,480
323,Tulane,23,10,13,.435,1.04,3.60,,4,12,,6,6,,3,6,,1470,1529,,920,486,1269,.383,151,507,.298,347,465,.746,191,752,269,172,71,258,361
324,Tulsa,23,11,12,.478,4.22,5.46,,7,9,,7,5,,4,4,,1573,1509,,920,566,1262,.448,159,504,.315,282,416,.678,204,781,327,146,46,307,379
325,UCLA NCAA,26,17,9,.654,12.41,8.06,,13,6,,11,1,,5,6,,1894,1781,,1070,686,1485,.462,173,471,.367,349,484,.721,257,910,354,132,69,290,415
326,Utah State NCAA,28,20,8,.714,11.25,0.76,,13,4,,10,2,,5,3,,2052,1743,,1120,751,1682,.446,181,538,.336,369,508,.726,353,1142,456,190,136,381,423
327,Utah Valley,22,11,11,.500,-4.38,-2.58,,9,4,,8,4,,3,6,,1632,1635,,885,592,1246,.475,116,335,.346,332,526,.631,239,854,370,115,101,329,431
328,Utah,25,12,13,.480,9.38,7.06,,8,11,,8,5,,3,7,,1803,1745,,1010,656,1398,.469,172,484,.355,319,403,.792,185,782,378,136,85,322,419
