,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
279,South Alabama,28,17,11,.607,-5.66,-5.49,,10,7,,10,5,,6,5,,2075,1985,,68.4,106.9,.334,.436,.552,48.4,43.9,10.3,11.0,.520,15.1,27.2,.240
280,South Carolina State,18,1,17,.056,-24.36,-7.03,,1,7,,1,6,,0,11,,1102,1414,,72.5,84.4,.276,.376,.472,44.6,44.4,8.1,7.6,.448,21.1,25.8,.171
281,South Carolina Upstate,23,5,18,.217,-13.13,-4.63,,5,11,,3,8,,2,10,,1515,1712,,68.9,95.6,.293,.400,.524,46.5,51.3,9.0,7.1,.491,18.4,23.7,.211
282,South Carolina,21,6,15,.286,3.79,10.41,,4,12,,3,6,,2,7,,1523,1662,,75.4,96.1,.279,.342,.493,48.7,49.5,11.1,10.0,.467,16.8,31.7,.183
283,South Dakota State,23,16,7,.696,2.63,-2.69,,9,3,,8,1,,4,2,,1850,1690,,71.9,111.9,.377,.348,.597,53.5,49.9,7.7,8.5,.568,15.4,24.4,.270
284,South Dakota,25,14,11,.560,-1.81,-4.06,,11,4,,7,2,,5,4,,1899,1805,,70.2,108.1,.325,.332,.572,50.5,51.8,6.5,6.9,.533,13.9,22.1,.254
285,South Florida,22,9,13,.409,0.10,6.39,,4,10,,4,6,,3,4,,1449,1571,,68.3,95.9,.343,.330,.488,52.8,48.6,7.7,8.6,.458,17.2,33.2,.218
286,Southeast Missouri State,27,11,16,.407,-9.83,-7.16,,9,11,,7,6,,3,9,,1864,1936,,68.9,97.5,.405,.396,.532,51.6,59.4,9.7,6.7,.499,19.2,27.6,.272
287,Southeastern Louisiana,26,8,18,.308,-17.62,-8.24,,5,11,,3,4,,4,13,,1775,2019,,71.6,94.1,.410,.405,.496,48.5,44.2,9.5,7.3,.454,18.8,31.2,.278
288,Southern California NCAA,29,22,7,.759,17.27,7.61,,15,5,,13,2,,7,3,,2168,1888,,67.6,108.8,.375,.312,.545,55.0,50.3,7.0,13.6,.521,15.4,35.6,.242
289,SIU Edwardsville,26,9,17,.346,-14.53,-5.61,,7,12,,2,8,,6,7,,1709,1897,,69.8,94.2,.330,.349,.527,48.4,54.4,8.4,13.1,.497,20.3,26.5,.225
290,Southern Illinois,26,12,14,.462,-3.48,0.80,,5,13,,8,5,,3,8,,1704,1770,,65.8,98.7,.294,.411,.549,46.5,57.3,9.3,5.6,.528,16.7,17.0,.195
291,Southern Methodist,16,11,5,.688,11.14,4.14,,7,4,,6,2,,5,2,,1185,1073,,70.8,104.6,.313,.375,.547,51.4,56.7,8.7,12.7,.514,17.4,30.5,.228
292,Southern Mississippi,25,8,17,.320,-6.88,-2.10,,4,13,,6,7,,2,9,,1605,1668,,68.5,93.3,.281,.302,.507,50.8,50.1,8.6,6.7,.480,18.2,24.4,.190
293,Southern Utah,24,20,4,.833,-0.70,-7.02,,12,2,,14,0,,5,3,,2021,1669,,73.1,114.6,.374,.419,.582,55.5,48.4,9.5,7.2,.545,14.3,31.7,.279
294,Southern,19,8,11,.421,-13.71,-13.28,,8,6,,5,2,,3,7,,1327,1335,,72.9,94.0,.405,.299,.517,51.5,57.4,11.0,6.6,.480,19.4,27.9,.272
295,St. Bonaventure NCAA,20,16,4,.800,15.15,5.00,,11,4,,8,1,,4,3,,1410,1207,,65.2,108.2,.278,.319,.536,53.1,56.8,9.2,12.4,.505,14.4,33.6,.204
296,St. Francis (NY),19,9,10,.474,-8.26,-6.42,,9,9,,4,6,,5,4,,1476,1511,,73.6,104.9,.307,.293,.530,49.4,50.0,10.9,8.9,.495,14.1,30.2,.226
297,St. John's (NY),27,16,11,.593,10.27,8.05,,10,9,,11,3,,4,6,,2132,2072,,74.1,105.1,.286,.333,.538,48.7,56.5,12.1,10.2,.504,14.6,29.1,.214
298,Stanford,27,14,13,.519,8.11,7.96,,10,10,,5,4,,6,6,,1883,1879,,69.7,98.3,.365,.309,.549,50.0,49.0,10.0,9.5,.514,19.0,25.1,.261
299,Stephen F. Austin,21,16,5,.762,-1.87,-8.71,,13,3,,10,1,,6,4,,1686,1484,,72.7,109.1,.421,.249,.588,55.4,53.2,12.9,10.0,.562,19.5,36.8,.286
300,Stetson,25,11,14,.440,-7.38,-4.57,,7,9,,7,5,,3,8,,1800,1767,,68.7,104.3,.273,.423,.542,50.8,54.7,10.3,7.7,.517,16.6,29.3,.190
301,Stony Brook,23,9,14,.391,-5.27,-3.86,,7,9,,5,5,,4,8,,1522,1509,,67.7,96.6,.329,.359,.499,51.7,51.2,8.2,14.5,.465,17.3,30.8,.225
302,Syracuse NCAA,25,16,9,.640,13.75,8.63,,9,7,,13,1,,2,7,,1896,1768,,69.7,108.2,.284,.392,.545,48.7,56.5,12.4,14.4,.507,13.8,30.2,.222
303,Tarleton State,20,10,10,.500,-8.17,-3.91,,5,7,,6,3,,4,7,,1467,1246,,69.2,106.1,.365,.258,.554,48.7,55.5,15.1,10.0,.518,14.8,26.0,.263
304,Temple,16,5,11,.313,2.77,5.77,,4,10,,3,5,,2,5,,1053,1101,,68.3,96.3,.389,.387,.512,49.5,61.5,6.1,6.7,.467,17.2,25.9,.279
305,Tennessee-Martin,24,8,16,.333,-19.02,-5.49,,6,14,,6,7,,2,9,,1571,1847,,68.7,94.2,.294,.355,.495,46.7,52.0,10.3,8.0,.458,17.8,29.2,.211
306,Tennessee State,23,4,19,.174,-13.65,-6.79,,3,17,,4,8,,0,11,,1573,1702,,72.5,93.4,.326,.358,.507,46.9,47.2,10.1,8.9,.475,18.5,25.5,.223
307,Tennessee Tech,27,5,22,.185,-13.63,-3.34,,5,15,,5,6,,0,16,,1797,2075,,70.2,94.4,.270,.427,.525,49.4,57.9,9.2,6.2,.501,20.1,26.6,.183
308,Tennessee NCAA,26,18,8,.692,18.06,8.79,,10,7,,13,3,,4,4,,1885,1644,,68.8,105.4,.351,.343,.542,51.6,59.2,10.5,14.4,.501,15.7,31.4,.262
309,Texas A&M-Corpus Christi,24,5,19,.208,-16.95,-6.29,,2,13,,4,8,,1,10,,1554,1716,,71.3,90.8,.357,.358,.513,48.4,56.8,9.6,8.1,.477,20.9,24.6,.245
310,Texas A&M,18,8,10,.444,2.31,4.97,,2,8,,6,4,,2,4,,1157,1205,,66.1,97.2,.340,.405,.516,50.9,54.4,10.4,6.7,.476,19.1,32.8,.246
311,Texas-Arlington,26,13,13,.500,-7.20,-4.55,,9,8,,9,4,,3,8,,1916,1827,,71.6,102.5,.268,.397,.513,48.9,52.1,11.4,12.2,.479,14.3,29.3,.197
312,Texas Christian,26,12,14,.462,2.83,7.21,,5,11,,6,7,,3,6,,1738,1852,,67.6,98.4,.324,.363,.527,50.2,54.1,8.9,9.1,.499,18.3,28.9,.218
313,Texas-El Paso,24,12,12,.500,0.90,1.09,,8,8,,10,2,,2,9,,1698,1644,,69.6,101.1,.291,.366,.521,49.4,46.9,8.9,7.5,.484,13.9,24.2,.217
314,Texas-Rio Grande Valley,19,9,10,.474,-10.22,-5.82,,2,5,,8,3,,1,6,,1376,1287,,74.5,97.2,.402,.369,.496,49.5,60.7,11.9,11.2,.463,16.9,32.4,.256
315,Texas-San Antonio,26,15,11,.577,-1.41,-0.36,,9,7,,12,2,,2,8,,2050,1906,,73.4,107.4,.234,.364,.537,51.3,49.9,8.4,8.8,.508,13.7,29.9,.178
316,Texas Southern NCAA,24,16,8,.667,-7.48,-10.96,,10,3,,8,2,,5,6,,1795,1672,,74.4,100.0,.382,.276,.526,53.9,45.8,9.6,12.4,.489,18.4,32.7,.267
317,Texas State,25,18,7,.720,-3.93,-7.45,,12,3,,8,3,,9,3,,1660,1543,,64.6,101.2,.274,.269,.540,52.4,52.6,10.4,9.6,.514,17.8,29.8,.194
318,Texas Tech NCAA,27,17,10,.630,16.54,6.91,,9,8,,11,4,,5,4,,1972,1712,,67.0,108.0,.393,.313,.537,51.5,51.0,10.7,12.6,.497,13.9,33.6,.279
319,Texas NCAA,26,19,7,.731,16.24,9.81,,11,6,,8,5,,6,2,,1956,1789,,69.6,106.5,.341,.419,.559,53.0,49.9,9.3,10.0,.529,17.5,31.3,.241
320,Toledo,29,21,8,.724,7.62,-1.48,,15,4,,12,1,,7,5,,2367,2103,,70.4,114.5,.284,.451,.576,50.3,56.1,8.6,6.4,.543,13.4,29.6,.221
321,Towson,18,4,14,.222,-9.02,-1.52,,3,9,,4,4,,0,6,,1214,1349,,66.8,99.5,.334,.295,.497,51.5,39.2,7.4,7.9,.454,15.5,34.1,.243
322,Troy,28,11,17,.393,-11.63,-3.63,,4,12,,7,4,,2,11,,1829,1942,,70.2,92.7,.348,.388,.492,51.2,50.3,8.9,8.7,.452,18.3,28.8,.242
323,Tulane,23,10,13,.435,1.04,3.60,,4,12,,6,6,,3,6,,1470,1529,,67.8,94.3,.366,.400,.493,45.8,55.3,11.0,9.7,.442,14.8,22.9,.273
324,Tulsa,23,11,12,.478,4.22,5.46,,7,9,,7,5,,4,4,,1573,1509,,68.0,100.5,.330,.399,.539,49.2,57.8,9.3,6.3,.511,17.4,26.9,.223
325,UCLA NCAA,26,17,9,.654,12.41,8.06,,13,6,,11,1,,5,6,,1894,1781,,65.5,108.1,.326,.317,.552,53.2,51.6,7.5,7.8,.520,14.5,30.2,.235
326,Utah State NCAA,28,20,8,.714,11.25,0.76,,13,4,,10,2,,5,3,,2052,1743,,69.5,105.4,.302,.320,.533,57.2,60.7,9.8,14.6,.500,16.5,35.7,.219
327,Utah Valley,22,11,11,.500,-4.38,-2.58,,9,4,,8,4,,3,6,,1632,1635,,72.0,102.5,.422,.269,.546,54.5,62.5,7.2,11.6,.522,18.0,31.5,.266
328,Utah,25,12,13,.480,9.38,7.06,,8,11,,8,5,,3,7,,1803,1745,,67.8,105.3,.288,.346,.567,47.9,57.6,7.9,9.2,.531,16.8,23.6,.228
329,Valparaiso,28,10,18,.357,-3.91,1.43,,7,11,,6,6,,4,11,,1821,1902,,68.3,94.4,.272,.403,.512,47.1,53.9,9.5,9.4,.479,16.3,20.1,.198
330,Vanderbilt,25,9,16,.360,6.64,7.24,,3,13,,6,7,,2,8,,1794,1809,,69.6,103.0,.329,.471,.548,49.3,52.2,10.1,7.3,.512,17.4,28.1,.242
331,Vermont,15,10,5,.667,2.79,-6.81,,10,4,,6,3,,4,2,,1095,951,,66.4,108.1,.330,.407,.572,52.9,55.1,7.4,8.0,.533,16.0,26.6,.257
332,Villanova NCAA,22,16,6,.727,18.08,9.67,,11,4,,9,0,,4,4,,1662,1477,,66.2,113.4,.301,.446,.563,51.1,57.8,8.0,4.4,.529,11.9,28.0,.230
333,Virginia Commonwealth NCAA,26,19,7,.731,12.28,5.74,,10,4,,12,2,,5,3,,1864,1694,,70.5,101.2,.340,.349,.550,49.6,52.7,13.0,14.8,.509,18.3,28.0,.259
334,VMI,25,13,12,.520,0.14,-0.23,,7,7,,11,1,,1,10,,2001,1897,,72.3,109.5,.272,.469,.584,51.3,55.7,7.3,8.0,.554,15.5,23.4,.210
335,Virginia Tech NCAA,21,15,6,.714,13.68,7.06,,9,4,,10,2,,3,3,,1515,1376,,66.5,107.2,.332,.410,.553,52.3,56.6,7.1,11.8,.525,15.2,28.4,.232
336,Virginia NCAA,24,18,6,.750,16.66,8.49,,13,4,,10,1,,6,3,,1647,1451,,60.8,112.3,.220,.423,.589,52.1,55.1,8.0,13.0,.561,13.9,23.1,.179
337,Wagner,20,13,7,.650,-3.37,-5.92,,13,5,,7,3,,6,4,,1425,1374,,66.8,104.8,.280,.305,.522,52.5,48.4,10.8,8.2,.491,15.3,34.8,.201
338,Wake Forest,22,6,16,.273,2.72,9.05,,3,15,,5,6,,1,9,,1458,1583,,67.4,97.7,.294,.460,.524,48.9,50.3,9.1,6.2,.490,17.7,25.8,.214
339,Washington State,27,14,13,.519,5.82,4.64,,7,12,,11,5,,3,6,,1853,1821,,68.6,97.4,.347,.396,.517,52.3,51.8,8.8,9.0,.479,18.7,30.8,.246
340,Washington,26,5,21,.192,-0.55,9.18,,4,16,,4,7,,1,9,,1759,2012,,71.0,95.3,.262,.392,.517,44.5,43.7,8.6,8.9,.489,17.3,23.4,.185
341,Weber State,23,17,6,.739,1.90,-6.45,,12,3,,11,0,,6,5,,1881,1594,,72.5,112.8,.368,.382,.616,51.4,52.6,9.2,8.0,.579,15.9,22.2,.289
342,West Virginia NCAA,27,18,9,.667,15.86,10.67,,11,6,,8,5,,7,2,,2087,1947,,70.7,107.8,.394,.331,.530,51.7,52.5,10.4,7.6,.487,14.3,35.5,.283
343,Western Carolina,27,11,16,.407,-6.92,-1.52,,4,13,,6,5,,4,9,,2039,2129,,72.2,102.2,.333,.420,.558,49.6,50.1,6.7,7.4,.526,17.3,22.9,.242
344,Western Illinois,22,7,15,.318,-12.84,-4.98,,5,9,,2,5,,4,9,,1606,1746,,73.5,99.3,.358,.365,.504,51.1,40.9,7.2,7.9,.461,15.2,29.1,.256
345,Western Kentucky,27,20,7,.741,5.41,0.18,,11,3,,11,2,,5,3,,1974,1833,,69.4,104.3,.362,.328,.557,55.0,52.4,9.4,12.5,.510,18.5,32.1,.286
346,Western Michigan,21,5,16,.238,-10.61,-0.31,,4,12,,2,9,,3,7,,1325,1511,,68.3,92.4,.252,.370,.513,48.2,49.1,6.5,5.3,.494,19.1,23.6,.161
347,Wichita State NCAA,21,16,5,.762,9.43,6.80,,11,2,,10,2,,5,2,,1520,1416,,68.8,104.0,.365,.406,.514,49.0,54.3,8.8,9.5,.477,13.9,30.6,.251
348,William & Mary,17,7,10,.412,-10.32,-3.09,,4,6,,1,3,,5,6,,1101,1224,,67.2,95.7,.320,.361,.504,48.4,47.2,7.8,8.4,.461,17.5,28.6,.239
349,Winthrop NCAA,24,23,1,.958,5.10,-7.65,,17,1,,11,1,,10,0,,1909,1603,,72.8,109.3,.357,.393,.558,56.3,53.6,10.7,6.7,.530,16.6,35.5,.245
350,Wisconsin NCAA,29,17,12,.586,17.82,12.51,,10,10,,11,5,,5,6,,2019,1865,,65.7,105.0,.269,.408,.530,48.8,54.3,8.8,10.4,.494,12.0,23.7,.207
351,Wofford,24,15,9,.625,2.19,0.19,,12,5,,9,3,,6,4,,1784,1627,,67.6,109.4,.254,.504,.579,51.6,54.3,9.8,6.1,.560,16.6,27.7,.179
352,Wright State,24,18,6,.750,7.73,-6.82,,16,4,,9,4,,9,2,,1967,1618,,72.1,113.0,.345,.329,.574,56.2,52.0,8.1,8.4,.544,15.5,34.2,.250
353,Wyoming,25,14,11,.560,-1.48,-2.56,,5,9,,7,5,,4,5,,1915,1888,,69.9,108.4,.353,.488,.569,47.0,54.1,8.2,5.4,.537,14.3,22.9,.254
354,Xavier,21,13,8,.619,11.95,7.33,,6,7,,11,2,,2,5,,1571,1474,,69.5,106.4,.259,.388,.544,50.8,62.6,9.8,10.3,.521,14.0,26.8,.180
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-8.94,-7.33,,9,11,,10,5,,5,7,,2010,1950,,69.1,106.2,.321,.362,.522,51.3,48.7,8.6,4.6,.484,13.9,33.6,.233
