,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
69,Coppin State,22,9,13,.409,-11.30,-4.99,,8,4,,5,3,,4,9,,1602,1741,,79.3,91.8,.438,.494,.515,43.7,54.1,10.8,8.0,.486,18.3,18.5,.273
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
71,Creighton NCAA,28,20,8,.714,17.59,8.91,,14,6,,11,3,,7,4,,2155,1912,,69.5,109.8,.269,.443,.570,49.7,55.8,10.1,9.5,.557,14.1,24.8,.173
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.59,3.99,,7,4,,7,4,,4,2,,1518,1336,,63.7,112.8,.262,.491,.581,53.8,57.8,8.0,8.2,.563,14.7,28.4,.180
74,Dayton,23,14,9,.609,7.40,4.88,,9,7,,8,3,,4,6,,1614,1556,,66.4,102.9,.345,.416,.583,50.5,55.7,6.6,5.3,.555,19.5,23.7,.248
75,Delaware State,19,3,16,.158,-23.02,-5.25,,1,11,,3,6,,0,10,,1345,1629,,77.1,91.2,.302,.416,.497,46.5,46.2,8.3,9.4,.460,19.2,26.9,.217
76,Delaware,15,7,8,.467,-4.27,-4.12,,5,4,,6,3,,1,4,,1013,1012,,67.8,99.6,.375,.405,.542,51.6,54.2,6.8,9.6,.505,18.7,26.9,.267
77,Denver,21,2,19,.095,-17.21,-6.61,,1,13,,2,10,,0,9,,1466,1662,,71.4,96.7,.340,.344,.539,46.8,48.4,7.9,7.5,.503,18.6,22.1,.245
78,DePaul,19,5,14,.263,3.63,9.79,,2,13,,2,8,,2,5,,1250,1367,,70.6,91.9,.237,.283,.487,50.1,45.1,9.6,11.0,.461,18.9,31.8,.160
79,Detroit Mercy,22,12,10,.545,-2.77,-5.31,,10,6,,7,5,,5,5,,1683,1627,,68.2,111.5,.253,.446,.582,49.1,52.7,9.9,7.2,.551,14.9,27.0,.203
80,Dixie State,21,8,13,.381,-14.97,-4.40,,4,10,,5,7,,3,6,,1461,1603,,74.0,94.0,.348,.341,.511,47.0,62.5,9.2,5.3,.471,18.3,25.3,.249
81,Drake NCAA,29,25,4,.862,9.55,-1.63,,15,3,,14,1,,9,2,,2245,1875,,66.8,114.9,.244,.314,.573,53.8,46.0,10.6,8.4,.552,13.2,31.6,.174
82,Drexel NCAA,19,12,7,.632,0.23,-4.41,,4,5,,3,2,,4,5,,1358,1270,,65.9,108.4,.285,.357,.576,53.7,58.2,7.1,6.5,.543,17.2,29.4,.222
83,Duke,24,13,11,.542,14.04,9.33,,9,9,,8,5,,3,6,,1824,1711,,69.1,108.8,.234,.386,.555,51.3,55.9,11.8,11.8,.536,15.7,31.9,.162
84,Duquesne,18,9,9,.500,3.36,3.53,,7,7,,5,2,,2,5,,1205,1208,,68.4,98.0,.316,.370,.504,50.2,55.0,9.8,13.0,.476,16.7,31.0,.206
85,East Carolina,19,8,11,.421,1.12,3.95,,2,10,,7,6,,1,4,,1269,1291,,68.9,96.3,.331,.328,.501,49.0,67.5,8.9,9.9,.460,15.9,27.2,.239
